# Unicode character frequencies computed on dumps of all wikipedia languages (288)
# Dumps downloader: https://github.com/aesuli/wikipediatools
# Html converted to plain text: https://github.com/aesuli/wikipedia-extractor
#
# Andrea Esuli
# http://www.esuli.it/
#
#'char'<tab>ord(char)<tab>freq
'ე'	4308	5959868
'ு'	3009	5903679
'μ'	956	5895581
'（'	65288	5855871
'）'	65289	5852106
'X'	88	5844923
'ி'	3007	5815081
'Б'	1041	5738729
'ス'	12473	5638108
'ి'	3135	5615810
'ý'	253	5603338
'Н'	1053	5592901
'ż'	380	5586305
'ě'	283	5581715
'Р'	1056	5577256
'া'	2494	5542508
'ş'	351	5531007
'ル'	12523	5391067
'أ'	1571	5388460
'த'	2980	5373619
'λ'	955	5312897
'อ'	3629	5312222
'ט'	1496	5306007
'ø'	248	5273489
'ß'	223	5261687
'ก'	3585	5237798
'ג'	1490	5194863
'ի'	1387	5081286
'っ'	12387	5056418
'خ'	1582	5008671
'เ'	3648	4985899
'ś'	347	4981170
'â'	226	4968772
'म'	2350	4928715
'ง'	3591	4907802
'่'	3656	4884768
'व'	2357	4847838
'ా'	3134	4818369
'“'	8220	4806453
'ե'	1381	4801997
'Д'	1044	4778800
'်'	4154	4763109
'ं'	2306	4753372
'О'	1054	4751010
'ї'	1111	4745772
'ら'	12425	4738045
'あ'	12354	4736723
'か'	12363	4693472
'・'	12539	4674870
'ί'	943	4672326
'،'	1548	4666639
'ს'	4321	4653760
'ё'	1105	4638021
'ಿ'	3263	4602997
'ी'	2368	4584762
'ñ'	241	4575103
'ल'	2354	4559597
'ư'	432	4550519
'Т'	1058	4519591
'ן'	1503	4512772
'ు'	3137	4505900
'Q'	81	4439942
'さ'	12373	4431685
'प'	2346	4351995
'ト'	12488	4344772
'ర'	3120	4286189
'ò'	242	4279482
'ô'	244	4255559
'ř'	345	4254106
'ப'	2986	4232962
'ม'	3617	4222419
'ั'	3633	4216861
'ő'	337	4213272
'র'	2480	4208274
'צ'	1510	4187002
'も'	12418	4157748
'‌'	8204	4154186
'イ'	12452	4140031
'り'	12426	4120933
'ъ'	1098	4112356
'リ'	12522	4102708
'Г'	1043	4079464
'ć'	263	4059988
'რ'	4320	4046121
'ط'	1591	4027805
'ह'	2361	3969532
'ό'	972	3967447
'日'	26085	3939782
'こ'	12371	3927056
'ص'	1589	3925808
'一'	19968	3918509
'大'	22823	3915473
'ى'	1609	3912027
'న'	3112	3891393
'이'	51060	3870913
'人'	20154	3869553
'ア'	12450	3866944
'ി'	3391	3856889
'ւ'	1410	3781657
'ά'	940	3746958
'す'	12377	3726016
